CIK,Ticker,Date,% change day,% change week,% change month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,textblob sentiment,NLTK Negative,NLTK Neutral,NLTK Positive
934473,GNVC,3/9/2016,35.51315789,32.23684211,46.18421053,2.880446885,42.82799429,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.059549112,0.044,0.828,0.127
1142750,AHS,2/17/2017,0,0,12.5,0,37.5,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
1370450,WLDN,3/10/2017,16.27627628,10.15015015,15.82582583,0.0749298,29.59110473,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,
1449732,WG,3/10/2016,9.278350515,6.18556701,20.6185567,0.079142404,26.13636364,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.045383748,0.044,0.816,0.14
902791,BBSI,5/26/2016,20.19178082,23.01369863,11.26027397,0.081242444,25.19739101,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.041401565,0.055,0.809,0.136
728385,MEEC,3/28/2017,20,20,15,0.08498052,25,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
60714,LXU,2/29/2016,0,,10.10273973,0.043782395,21.23287671,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.052032882,0.041,0.794,0.165
1069258,KTOS,3/11/2016,12.17183771,7.637231504,23.86634845,0.052611096,20.10869565,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.046351764,0.053,0.807,0.14
904979,SHLO,1/17/2017,0,0.641848524,8.215661104,0.031115031,20.02567394,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,
864240,SYPR,3/28/2017,12.62135922,13.63106796,13.59223301,0.051716402,18.88888889,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
1528849,RH,3/29/2017,13.003663,15.10989011,25.20604396,0.04976344,18.28947368,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
57131,LZB,6/20/2017,-4.007633588,-5.534351145,-3.435114504,0.017862915,17.43119266,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
1439222,AGIO,2/16/2017,7.445314068,7.66606462,17.07806542,0.026789966,17.28100607,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
