CIK,Ticker,Date,% day,% week,% month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,TextBlob,NLTK neg,NLTK neu,NLTK pos
1750,AIR,7/15/2015,0.801726796,4.902867715,7.092198582,0.015928666,0.359527478,0,33.24,13.8,10.4,11.2,16,15.49,13.5,6.1,0.053841907,0.058,0.824,0.118
1961,WDDD,4/15/2015,#N/A,1.496062992,-11.25984252,0.017023148,-5.462962963,0,33.58,15.8,13.6,11.2,18.6,14.46,7,6.08,0.049264404,0.042,0.818,0.14
2098,ACU,3/6/2015,-1.333333333,-2.666666667,-1.546666667,0.023338352,-3.703703704,0,48.13,12.3,11.2,8.8,16,14.45,7.5,6.71,0.045565097,0.042,0.842,0.117
2178,AE,3/13/2015,0.201144979,-4.239517252,-1.531796379,0.010494158,1.01010101,1,40.69,13.1,10.8,11.2,16.4,15.9,11,6.77,0.059037666,0.028,0.864,0.108
2186,RWC,3/4/2015,-0.894308943,0.650406504,13.00813008,0.02419585,-6.72047183,0,32.22,14.2,10.8,11.2,16.5,15.79,8,6.43,0.033056297,0.051,0.833,0.116
3545,ALCO,12/10/2015,-1.572248565,-4.54205141,-4.89143998,0.007948854,-11.38211382,0,42.72,12.3,10,11.2,14.9,15.03,11,6.41,0.028579321,0.047,0.842,0.11
4127,SWKS,11/24/2015,0.692422118,5.021633472,-1.937825477,0.012368196,-0.323947172,0,40.01,15.4,14.4,11.2,19.2,13.94,14,2.22,0.037933222,0.033,0.823,0.143
4187,IDSA,6/17/2015,3.50877193,4.987468672,7.268170426,0.020391885,3.332475553,1,37.64,14.2,12,11.2,17.7,15.44,13.5,6.45,0.075206118,0.047,0.805,0.148
5133,AM,5/15/2015,1.850481125,3.515914138,7.364914878,0.023748765,0.5,0,53.21,10.3,9.2,8.8,13.2,14.1,11,5.82,0.056168316,0.054,0.807,0.139
6207,AXR,7/29/2015,-0.98019802,0,#N/A,0.012180114,-0.701107011,0,36.63,14.6,12.4,11.2,17.7,15.09,14,5.94,0.033122474,0.041,0.805,0.155
6281,ADI,11/24/2015,0.808352981,1.498821152,-6.517345908,0.006366292,1.37254902,1,47.12,12.7,11.6,11.2,16.9,14.86,14,6.1,0.033540685,0.036,0.827,0.136
6284,ALOG,9/25/2015,2.500289385,2.222479454,8.311147124,0.027769465,6.073943662,1,40.69,13.1,10.8,11.2,15.9,15.08,14.5,6.04,0.067494138,0.044,0.818,0.138
6494,AND,3/30/2015,0,0,-5.128205128,0.015804865,-2.369281046,0,43.73,11.9,9.6,11.2,14.9,15.2,14,5.95,0.070823448,0.034,0.85,0.116
6845,APOG,4/29/2015,0,1.754716981,18.20754717,0.012238763,-0.467836257,0,38.66,13.8,11.6,11.2,17.3,15.79,5.5,6.58,0.055836867,0.032,0.83,0.138
6885,SSI,4/1/2015,0.307422047,1.668862538,6.104523496,0.011122808,-1.386806597,0,45.76,11.1,8.8,8.8,14.4,15.72,11,6.15,0.058740567,0.04,0.837,0.124
6951,AMAT,12/9/2015,0.480769231,-1.976495726,10.41666667,0.024140146,-5.279232112,0,44.75,11.5,9.2,8.8,14.2,15.32,14,6.25,0.045021275,0.041,0.818,0.141
6955,ATU,10/28/2015,-0.141043724,-0.752233192,16.26704278,0.011094789,-1.055408971,0,29.18,15.4,12,11.2,18.4,16.13,8,6.17,0.058927292,0.046,0.827,0.127
7536,ARW,2/5/2015,1.304121022,3.112502174,1.982263954,0.020825071,6.117647059,1,34.26,13.5,10,11.2,16,15.9,11.5,6.47,0.059928412,0.045,0.82,0.135
8328,AMNL,3/27/2015,1.408450704,8.802816901,11.26760563,0.014637115,2.665731322,1,42.72,12.3,10,11.2,15.4,15.43,11,5.84,0.050083023,0.051,0.811,0.138
8411,ATW,11/12/2015,-17.25440806,-12.53148615,-3.589420655,0.021709338,0,0,40.69,13.1,10.8,8.8,15.4,14.39,9,6.4,0.063303761,0.029,0.841,0.13
8670,ADP,8/7/2015,-1.995510102,-0.024943876,-0.67348466,0.038509913,-3.190184049,0,37.64,14.2,12,11.2,16.6,14.22,8,6.25,0.049408625,0.062,0.798,0.14
8858,AVT,8/7/2015,-2.639499884,2.986802501,5.533688354,0.013068282,1.618929016,1,42.72,12.3,10,8.8,15.4,15.43,7.5,6.05,0.05098831,0.038,0.819,0.144
8947,AZZ,4/22/2015,1.539119282,1.132962805,1.496365968,0.020917762,1.521438451,1,41.7,12.7,10.4,11.2,15.8,15.49,13.5,6.04,0.046237834,0.039,0.825,0.136
9092,BMI,3/4/2015,-0.135501355,-0.948509485,-1.490514905,0.010816705,3.490136571,1,43.73,11.9,9.6,8.8,14.2,14.62,14,6.24,0.039932352,0.044,0.831,0.125
12208,BIO,3/2/2015,0,6.601255887,10.65149137,0.011045221,-1.455160745,0,44.75,11.5,9.2,8.8,14.2,15.08,8.5,6.1,0.054514692,0.038,0.848,0.114
12239,SPEX,4/30/2015,1.749663526,94.36849189,-11.70928668,0.024079128,0.513323771,0,41.7,12.7,10.4,11.2,15.5,15.26,10.5,6.06,0.055801299,0.054,0.821,0.124
12659,HRB,6/17/2015,0.985221675,-3.448275862,-3.054187192,5.694926204,1.199503654,1,48.13,12.3,11.2,8.8,15.3,14.05,8.5,5.88,0.051531697,0.058,0.797,0.145
12927,BA,2/12/2015,0.50586807,0.67449076,10.96721975,0.019425609,-0.26272578,0,42.72,12.3,10,8.8,15,14.79,8.5,6,0.043755504,0.078,0.804,0.118
14195,BGG,8/21/2015,-1.680244399,-1.476578411,6.211812627,0.00422516,1.223634397,1,41.7,12.7,10.4,11.2,16.1,15.61,11,6.07,0.058002744,0.044,0.82,0.136
14846,BRT,12/11/2015,4.40060698,-3.034901366,-2.427921093,0.026742493,-3.853853854,0,44.75,11.5,9.2,8.8,14.3,15.26,8.5,6.04,0.062581939,0.043,0.827,0.13
15615,MTZ,7/31/2015,-0.736543909,0.056657224,-14.10764873,0.014687128,-3.076923077,0,39.67,13.4,11.2,11.2,16.1,14.68,8,6.16,0.049664583,0.038,0.821,0.141
16058,CACI,8/21/2015,-1.115606228,-4.033345593,-0.147112909,0.020321899,-1.398992725,0,41.7,12.7,10.4,11.2,15.7,14.97,11,5.6,0.03638421,0.045,0.819,0.136
16160,CALM,7/20/2015,0,-8.638070765,-8.064834948,0.010536881,-6.423357664,0,42.72,12.3,10,11.2,15.1,15.26,11,6.22,0.066336808,0.05,0.809,0.141
16918,STZ,4/28/2015,0.034482759,0.112068966,0.732758621,0.014554984,-1.090573013,0,54.22,9.9,8.8,8.8,13.2,14.09,8,5.83,0.049963664,0.041,0.84,0.119
17843,CRS,8/25/2015,-0.188730116,-4.772175789,5.500134807,0.005497348,-0.085940186,0,38.66,13.8,11.6,11.2,16.5,14.57,13.5,5.86,0.056910807,0.036,0.813,0.151
18172,CAS,3/9/2015,0,-1.401273885,-3.312101911,0.013971572,-2.772387025,0,39.67,13.4,11.2,11.2,16,14.51,8,6.06,0.042004498,0.044,0.8,0.156
18255,CATO,3/30/2015,0,1.339515714,-14.06491499,0.008753936,-1.739130435,0,43.73,11.9,9.6,8.8,14.3,14.5,18,5.77,0.057350887,0.059,0.812,0.129
18498,GCO,4/1/2015,-0.155016911,0.845546787,-3.579481398,0.017505521,0.075815011,0,41.7,12.7,10.4,11.2,16.3,15.78,14,6.46,0.031234067,0.052,0.828,0.12
18654,CIP,3/2/2015,0,-0.378787879,-3.03030303,0.01342231,0.701951425,0,44.75,11.5,9.2,8.8,13.7,14.39,8.5,5.65,0.027484111,0.043,0.831,0.126
19871,CVR,3/20/2015,4.028285714,4.8,8.857142857,0.011564121,-1.140684411,0,31.21,14.6,11.2,11.2,16.8,15.67,9,5.61,0.037704122,0.039,0.819,0.142
